Algoritma,Boyut,SÃ¼re (sn),Enerji (Joule)
MergeSort,1000,0.002359599995543249,236.17242759797955
QuickSort,1000,0.0011884999985340983,229.44656119740105
MergeSort,5000,0.01370860000315588,252.75431610185356
QuickSort,5000,0.007220999992568977,236.5569456004305
MergeSort,10000,0.02922150000813417,269.26836703375744
QuickSort,10000,0.012691099997027777,236.4859245487464
MergeSort,20000,0.06528169999364763,780.4265239870494
QuickSort,20000,0.028432599996449426,26.770504196611
MergeSort,50000,0.17254749999847263,156.04561318109893
QuickSort,50000,0.07206809999479447,99.3152936547625
